# Probability that customers going to a
# specific station at given time on Sundays.
# Stations are in the order of:
# Select, Seared, Market, Plate, Noodle, Quench.
# Data starts from 7:00 AM, separated by 15 minutes.
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,50.00,0.00,0.00,50.00
0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,70.00,0.00,30.00
0.00,0.00,12.50,68.75,0.00,18.75
0.00,0.00,7.69,69.23,0.00,23.08
0.00,0.00,0.00,86.67,0.00,13.33
0.00,0.00,0.00,67.86,0.00,32.14
0.00,0.00,7.89,78.95,0.00,13.16
0.00,0.00,8.82,52.94,0.00,38.24
0.00,0.00,8.00,66.00,0.00,26.00
0.00,0.00,8.51,72.34,0.00,19.15
0.00,0.00,3.64,78.18,0.00,18.18
0.00,0.00,17.31,65.38,0.00,17.31
0.00,0.00,24.59,60.66,0.00,14.75
0.00,0.00,21.05,55.26,0.00,23.68
0.00,0.00,30.36,51.79,0.00,17.86
0.00,0.00,24.00,58.67,0.00,17.33
0.00,0.00,21.67,58.33,0.00,20.00
0.00,0.00,29.85,46.27,0.00,23.88
0.00,0.00,23.64,52.73,0.00,23.64
0.00,0.00,24.19,53.23,0.00,22.58
0.00,0.00,30.51,54.24,0.00,15.25
0.00,0.00,25.42,52.54,0.00,22.03
0.00,0.00,35.48,41.94,0.00,22.58
0.00,0.00,60.00,0.00,0.00,40.00
0.00,0.00,64.52,0.00,0.00,35.48
0.00,0.00,71.88,0.00,0.00,28.13
0.00,0.00,70.00,0.00,0.00,30.00
0.00,0.00,62.07,0.00,0.00,37.93
0.00,0.00,63.64,0.00,0.00,36.36
0.00,0.00,89.47,0.00,0.00,10.53
0.00,0.00,63.64,0.00,0.00,36.36
0.00,47.22,36.11,0.00,0.00,16.67
0.00,38.10,40.48,0.00,0.00,21.43
0.00,31.58,28.95,0.00,0.00,39.47
0.00,51.61,38.71,0.00,0.00,9.68
11.11,28.57,17.46,11.11,23.81,7.94
6.94,26.39,23.61,19.44,22.22,1.39
10.67,13.33,20.00,18.67,28.00,9.33
17.24,21.84,16.09,11.49,26.44,6.90
13.86,25.74,14.85,9.90,28.71,6.93
11.71,18.02,12.61,22.52,25.23,9.91
13.76,23.85,11.93,19.27,26.61,4.59
10.62,19.47,12.39,18.58,27.43,11.50
12.87,19.80,15.84,13.86,26.73,10.89
4.08,25.51,19.39,20.41,18.37,12.24
14.13,16.30,23.91,19.57,23.91,2.17
5.26,22.11,27.37,11.58,23.16,10.53
9.38,28.13,25.00,0.00,23.44,14.06
10.64,34.04,21.28,0.00,19.15,14.89
0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,93.75,0.00,6.25
0.00,0.00,0.00,70.59,0.00,29.41
0.00,0.00,0.00,76.47,0.00,23.53
0.00,0.00,0.00,76.92,0.00,23.08
0.00,0.00,0.00,57.14,0.00,42.86
0.00,0.00,0.00,57.69,0.00,42.31
0.00,0.00,0.00,70.00,0.00,30.00
0.00,0.00,0.00,84.21,0.00,15.79
0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,0.00,0.00,100.00
